"","Total.VolumeA","Speed_KM","OccupancyA"
"829",918,111,-1
"830",1308,109,-1
"831",1026,109,-1
"832",1218,108,-1
"833",1074,111,-1
"834",1062,111,-1
"835",918,111,-1
"836",870,108,-1
"837",876,108,-1
"838",840,109,-1
"839",930,108,-1
"840",1020,111,-1
"841",864,109,-1
"842",870,108,-1
"843",774,105,-1
"844",654,111,-1
"845",720,108,-1
"846",612,109,-1
"847",618,106,-1
"848",486,109,-1
"849",474,108,-1
"850",1668,109,-1
"851",1644,108,-1
"852",2046,105,-1
"853",2208,98,-1
"854",2118,92,-1
"855",1896,72,-1
"856",1548,77,-1
"857",1494,60,-1
"858",1110,35,-1
"859",1266,58,-1
"860",1896,77,-1
"861",1782,68,-1
"862",1026,68,-1
"863",1710,55,-1
"864",1674,50,-1
"865",1338,68,-1
"866",1284,37,-1
"867",1716,66,-1
"868",1248,24,-1
"869",1074,21,-1
"870",1260,26,-1
"871",1074,32,-1
"872",1398,39,-1
"873",1170,29,-1
"874",1308,47,-1
"875",1212,31,-1
"876",1266,32,-1
"877",1404,42,-1
"878",1464,56,-1
"879",1572,69,-1
"880",1476,76,-1
"881",1338,106,-1
"882",1638,103,-1
"883",1122,108,-1
"884",1086,108,-1
"885",798,108,-1
"886",1290,109,-1
"887",984,108,-1
"888",750,103,-1
"889",1320,105,-1
"890",1116,108,-1
"891",1182,103,-1
"892",1266,106,-1
"893",1230,106,-1
"894",1284,108,-1
"895",1062,105,-1
"896",960,106,-1
"897",942,105,-1
"898",930,106,-1
"899",960,106,-1
"900",948,105,-1
"901",1068,105,-1
"902",918,101,-1
"903",1050,105,-1
"904",1110,105,-1
"905",1002,105,-1
"906",798,105,-1
"907",966,103,-1
"908",1110,106,-1
"909",678,106,-1
"910",900,106,-1
"911",942,106,-1
"912",702,106,-1
"913",888,105,-1
"914",792,106,-1
"915",984,106,-1
"916",954,101,-1
"917",816,103,-1
"918",726,103,-1
"919",768,101,-1
"920",894,105,-1
"921",834,106,-1
"922",942,101,-1
"923",966,105,-1
"924",966,103,-1
"925",840,101,-1
"926",822,105,-1
"927",1002,108,-1
"928",990,106,-1
"929",852,106,-1
"930",768,105,-1
"931",864,103,-1
"932",660,105,-1
"933",840,106,-1
"934",684,105,-1
"935",828,106,-1
"936",804,108,-1
"937",846,105,-1
"938",1008,100,-1
"939",1092,105,-1
"940",990,106,-1
"941",864,103,-1
"942",1062,106,-1
"943",1020,108,-1
"944",978,103,-1
"945",966,103,-1
"946",708,106,-1
"947",804,103,-1
"948",822,105,-1
"949",840,105,-1
"950",744,105,-1
"951",1188,108,-1
"952",930,105,-1
"953",816,108,-1
"954",786,106,-1
"955",882,108,-1
"956",696,105,-1
"957",930,103,-1
"958",720,109,-1
"959",1110,108,-1
"960",936,108,-1
"961",1212,109,-1
"962",978,108,-1
"963",1134,109,-1
"964",912,108,-1
"965",1038,106,-1
"966",1182,109,-1
"967",1140,108,-1
"968",996,106,-1
"969",1014,105,-1
"970",984,105,-1
"971",702,109,-1
"972",948,109,-1
"973",798,109,-1
"974",1050,109,-1
"975",1098,109,-1
"976",1056,111,-1
"977",900,111,-1
"978",930,109,-1
"979",1140,108,-1
"980",1050,111,-1
"981",1404,108,-1
"982",1032,113,-1
"983",1080,111,-1
"984",1218,111,-1
"985",1326,113,-1
"986",1086,111,-1
"987",1116,111,-1
"988",1284,111,-1
"989",1032,109,-1
"990",1098,113,-1
"991",960,111,-1
"992",966,113,-1
"993",894,111,-1
"994",768,114,-1
"995",888,108,-1
"996",876,109,-1
"997",822,111,-1
"998",1002,111,-1
"999",834,106,-1
"1000",840,109,-1
"1001",762,109,-1
"1002",810,111,-1
"1003",840,109,-1
"1004",684,109,-1
"1005",660,106,-1
"1006",612,108,-1
"1007",1410,106,-1
"1008",1812,103,-1
"1009",2106,101,-1
"1010",2160,97,-1
"1011",2256,87,-1
"1012",1962,74,-1
"1013",1902,77,-1
"1014",1950,76,-1
"1015",1524,79,-1
"1016",1242,43,-1
"1017",1746,69,-1
"1018",1824,58,-1
"1019",1536,72,-1
"1020",1104,37,-1
"1021",1158,39,-1
"1022",1308,37,-1
"1023",1608,47,-1
"1024",1410,37,-1
"1025",1422,40,-1
"1026",1290,31,-1
"1027",1356,35,-1
"1028",1074,23,-1
"1029",1458,56,-1
"1030",1572,60,-1
"1031",1632,68,-1
"1032",1578,79,-1
"1033",1362,100,-1
"1034",1224,105,-1
"1035",1488,105,-1
"1036",1074,103,-1
"1037",1488,105,-1
"1038",1416,103,-1
